UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root        1141       1    1308  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1310  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1314  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2460  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2463  0   57 09:19 ?        00:00:11 /bin/warp-svc
root        1141       1    2464  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2465  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2466  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2467  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2468  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2469  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2470  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2471  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2472  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2473  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2474  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2475  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2476  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2477  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2478  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2479  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2480  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2481  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2483  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    2487  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1  185232  0   57 20:04 ?        00:00:01 /bin/warp-svc
root        1141       1  185233  0   57 20:04 ?        00:00:01 /bin/warp-svc
avahi       1147    1107    1147  0    1 09:19 ?        00:00:00 avahi-daemon: chroot helper
root        1186       1    1186  0    4 09:19 ?        00:00:08 /usr/sbin/NetworkManager --no-daemon
root        1186       1    1298  0    4 09:19 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1186       1    1303  0    4 09:19 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1186       1    1305  0    4 09:19 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root        1189       1    1189  0    1 09:19 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1222       1    1222  0    4 09:19 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1222       1    1288  0    4 09:19 ?        00:00:01 /usr/sbin/rsyslogd -n -iNONE
syslog      1222       1    1289  0    4 09:19 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1222       1    1290  0    4 09:19 ?        00:00:01 /usr/sbin/rsyslogd -n -iNONE
root        1293       1    1293  0    4 09:19 ?        00:00:00 /usr/sbin/ModemManager
root        1293       1    1323  0    4 09:19 ?        00:00:00 /usr/sbin/ModemManager
root        1293       1    1325  0    4 09:19 ?        00:00:00 /usr/sbin/ModemManager
root        1293       1    1329  0    4 09:19 ?        00:00:00 /usr/sbin/ModemManager
root        1313       1    1313  0    4 09:19 ?        00:00:00 /usr/libexec/boltd
root        1313       1    1324  0    4 09:19 ?        00:00:00 /usr/libexec/boltd
root        1313       1    1326  0    4 09:19 ?        00:00:00 /usr/libexec/boltd
root        1313       1    1330  0    4 09:19 ?        00:00:00 /usr/libexec/boltd
root        1351       1    1351  0    4 09:19 ?        00:00:02 /usr/libexec/upowerd
root        1351       1    1380  0    4 09:19 ?        00:00:00 /usr/libexec/upowerd
root        1351       1    1381  0    4 09:19 ?        00:00:00 /usr/libexec/upowerd
root        1351       1    1382  0    4 09:19 ?        00:00:00 /usr/libexec/upowerd
root        1417       2    1417  0    1 09:19 ?        00:00:00 [psimon]
root        1426       1    1426  0    1 09:19 ?        00:00:00 /usr/sbin/cupsd -l
